key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
ZM,2020-01-01,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,26.222222,21.0,31.111111,0.0,,16.722222,55.888745
ZM,2020-01-02,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,24.611111,20.888889,30.0,0.0,,18.111111,67.143038
ZM,2020-01-03,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,23.944444,20.0,29.0,9.906,,19.333333,75.42944
ZM,2020-01-04,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,24.555556,21.0,30.0,0.0,,19.277778,72.464688
ZM,2020-01-05,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,22.388889,20.0,25.0,2.032,,18.722222,79.767048
ZM,2020-01-06,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,24.111111,19.0,32.0,0.0,,18.333333,70.156236
ZM,2020-01-07,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,24.111111,19.0,33.611111,10.922,,18.222222,69.668954
ZM,2020-01-08,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,23.833333,21.0,27.0,0.0,,18.888889,73.860261
ZM,2020-01-09,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,22.333333,20.0,29.0,,,18.888889,80.874758
ZM,2020-01-10,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,,,,,,,ZM,ZMB,0,0,0,,,0,0,,,,,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24730.0,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,53140,13285,45708,23064722446,1291,0.396,195271,-14.0,28.0,,752610,,,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67665099999,155.975684,23.666667,20.0,29.0,3.048,,19.555556,77.76754
