#,Country,hosp_beds
1,Japan,13.05
2,"Korea, South",12.27
3,Russia,8.05
4,Germany,8
5,Austria,7.37
6,Hungary,7.02
7,Czechia,6.63
8,Poland,6.62
9,Lithuania,6.56
10,France,5.98
11,Slovakia,5.82
12,Belgium,5.76
13,Latvia,5.57
14,Hong Kong,
15,Estonia,4.69
16,Luxembourg,4.66
17,Switzerland,4.53
18,Slovenia,4.5
19,China,4.34
20,Greece,4.21
21,Australia,
22,Norway,3.6
23,Portugal,3.39
24,Netherlands,3.32
25,Finland,3.28
26,Italy,3.18
27,Iceland,3.06
28,Israel,3.02
29,Spain,2.97
30,Ireland,2.96
31,Turkey,2.81
32,US,
33,New Zealand,2.71
34,Denmark,2.61
35,United Kingdom,2.54
36,Canada,2.52
37,Sweden,2.22
38,Chile,2.11
39,Colombia,1.7
40,India,0.53
41,Mexico,1.38
42,Ukraine,8.8
43,Bangladesh,0.87
